sSchoolName,Class,UserID,AdaptivePrequalTask Score,sRole,class2,quiz 1,quiz 2
AR,4.1,1,No prequal task,student,AR (4.1),,
AR,4.1,2,No prequal task,student,AR (4.1),,
AR,4.1,3,No prequal task,student,AR (4.1),,
AR,4.1,4,No prequal task,student,AR (4.1),,
AR,4.1,5,No prequal task,student,AR (4.1),,
AR,4.1,6,37,student,AR (4.1),,
AR,4.1,7,No prequal task,student,AR (4.1),,
AR,4.1,8,0,student,AR (4.1),,
AR,4.1,9,0,student,AR (4.1),,
AR,4.1,10,16,student,AR (4.1),,
AR,4.1,11,0,student,AR (4.1),,
AR,4.1,12,23,student,AR (4.1),,
AR,4.1,13,0,student,AR (4.1),,
AR,4.1,14,14.5,student,AR (4.1),,
AR,4.1,15,0,student,AR (4.1),,
AR,4.1,16,0,student,AR (4.1),,
AR,4.1,17,0,student,AR (4.1),,
AR,4.1,18,No prequal task,student,AR (4.1),,
AR,4.1,19,0,student,AR (4.1),,
AR,4.1,20,0,student,AR (4.1),,
AR,4.1,21,0,student,AR (4.1),,
AR,4.1,22,0,student,AR (4.1),,
AR,4.1,23,No prequal task,student,AR (4.1),,
AR,4.1,24,No prequal task,student,AR (4.1),95,100
AR,4.1,25,15,student,AR (4.1),,
AR,4.1,26,0,student,AR (4.1),,
AR,4.1,27,0,student,AR (4.1),,
AR,4.2,28,14,student,AR (4.2),,
AR,4.2,29,3.5,student,AR (4.2),,
AR,4.2,30,25,student,AR (4.2),,
AR,4.2,31,0,student,AR (4.2),,
AR,4.2,32,11.5,student,AR (4.2),,
AR,4.2,33,15,student,AR (4.2),,
AR,4.2,34,19.5,student,AR (4.2),,
AR,4.2,35,0,student,AR (4.2),,
AR,4.2,36,8,student,AR (4.2),,
AR,4.2,37,No prequal task,student,AR (4.2),,
AR,4.2,38,23,student,AR (4.2),,
AR,4.2,39,14.5,student,AR (4.2),,
AR,4.2,40,5,student,AR (4.2),,
AR,4.2,41,32.5,student,AR (4.2),,
AR,4.2,42,21.5,student,AR (4.2),,
AR,4.2,43,No prequal task,student,AR (4.2),,
AR,4.2,44,48,student,AR (4.2),,
AR,4.2,45,19.5,student,AR (4.2),,
AR,4.2,46,30.5,student,AR (4.2),,
AR,4.2,47,No prequal task,student,AR (4.2),,
AR,4.2,48,0,student,AR (4.2),,
AR,4.2,49,19.5,student,AR (4.2),,
AR,4.2,50,0,student,AR (4.2),,
AR,4.2,51,3.5,student,AR (4.2),,
AR,4.2,52,12,student,AR (4.2),,
AR,4.2,53,21.5,student,AR (4.2),,
AR,4.2,54,11,student,AR (4.2),,
AR,4.2,55,18,student,AR (4.2),,
AR,4.2,56,18.5,student,AR (4.2),,
AR,4.2,57,23.5,student,AR (4.2),,
AR,4.2,58,18,student,AR (4.2),,
GB-1,4.1,59,No prequal task,student,GB-1 (4.1),,
GB-1,4.1,60,3.5,student,GB-1 (4.1),,
GB-1,4.1,61,58.5,student,GB-1 (4.1),,
GB-1,4.1,62,23.5,student,GB-1 (4.1),,
GB-1,4.1,63,14,student,GB-1 (4.1),,
GB-1,4.1,64,14,student,GB-1 (4.1),,
GB-1,4.1,65,15,student,GB-1 (4.1),0,68
GB-1,4.1,66,15.5,student,GB-1 (4.1),,
